posted_by,under_construction,rera_approved,num_of_rooms,bhk_or_rk,ready_to_move,resale,longitude,latitude,price,avg_price_per_unit_area,avg_price_per_room,area_per_room,neighborhood
Owner,Yes,No,2.0,BHK,No,Yes,24.48,84.09013437499999,39.0,0.039,19.5,500.0,3
Dealer,No,No,2.0,BHK,Yes,Yes,28.2102,76.8606,12.5,0.0125,6.25,500.0,0
Dealer,No,No,3.0,BHK,Yes,Yes,28.40473,77.367514,52.0,0.03713999998918655,17.333333333333332,466.702567,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,28.5041,77.381557,33.0,0.03499000000008058,16.5,471.5633038,0
Owner,No,No,2.0,BHK,Yes,Yes,26.586306,74.873234,55.0,0.047820000011094245,27.5,575.073191,0
Dealer,Yes,Yes,1.0,BHK,No,Yes,19.18,72.96333,82.0,0.09490000000108789,82.0,864.0674393999999,2
Dealer,No,Yes,2.0,BHK,Yes,No,19.1759,72.9522,193.0,0.22499779166416167,96.5,428.89309840000004,2
Owner,No,No,3.0,BHK,Yes,Yes,12.852171,80.216826,55.0,0.04683999999431107,18.333333333333332,391.40335899999997,1
Dealer,Yes,Yes,2.0,BHK,No,Yes,18.5993,73.7625,65.0,0.0637200000308993,32.5,510.043942,2
Owner,No,No,4.0,BHK,Yes,Yes,22.312063,72.674296,65.0,0.03938999998810422,16.25,412.54125425,2
Dealer,Yes,No,2.0,BHK,No,Yes,17.815234,83.35818,35.0,0.035,17.5,500.0,3
Owner,No,No,3.0,BHK,Yes,Yes,12.894088,77.548914,75.0,0.05769000000355371,25.0,433.3506673333333,1
Dealer,Yes,Yes,1.0,BHK,No,No,24.69028,78.41889,193.0,0.07642284773132971,193.0,2525.4227725,4
Dealer,No,Yes,2.0,BHK,Yes,Yes,18.539812,73.737678,65.0,0.06142999997444512,32.5,529.057464,2
Dealer,Yes,No,1.0,BHK,No,Yes,18.5438,73.9438,30.0,0.075,30.0,400.0,2
Dealer,No,Yes,3.0,BHK,Yes,Yes,22.803593,83.755013,193.0,0.15138148005200863,64.33333333333333,424.9749263333333,3
Dealer,No,No,2.0,BHK,Yes,Yes,19.014858,72.8662,193.0,0.18798200003195695,96.5,513.3470225,2
Owner,No,No,2.0,BHK,Yes,Yes,20.366670000000003,72.9,38.0,0.03304000001078147,19.0,575.0605325,2
Owner,No,No,3.0,BHK,Yes,Yes,28.460928000000003,77.03939100000001,60.0,0.05,20.0,400.0,0
Dealer,No,No,1.0,RK,Yes,Yes,24.69028,78.41889,46.0,0.09684000000233259,46.0,475.0103263,4
Builder,Yes,Yes,1.0,BHK,No,No,24.69028,78.41889,26.3,0.08710999999704223,26.3,301.91711630000003,4
Dealer,Yes,Yes,2.0,BHK,No,Yes,12.843852,74.845271,51.6,0.04199999998534883,25.8,614.2857145,1
Owner,No,No,2.0,BHK,Yes,Yes,13.077175,80.151453,55.0,0.05577999999812174,27.5,493.0082467,1
Dealer,Yes,Yes,3.0,BHK,No,Yes,28.431862,77.351104,71.9,0.03644999999538672,23.96666666666667,657.5217193333334,0
Dealer,Yes,Yes,1.0,BHK,No,Yes,19.048403,72.88731,130.0,0.3090699999823687,130.0,420.6166888,2
Owner,No,No,3.0,BHK,Yes,Yes,25.232239,71.392013,32.5,0.025489999995356897,10.833333333333334,425.0032693333333,2
Dealer,Yes,Yes,1.0,BHK,No,No,19.245347,73.124577,39.9,0.0982699999972169,39.9,406.024219,2
Dealer,No,No,3.0,BHK,Yes,Yes,28.431862,77.351104,59.9,0.03216000000094493,19.966666666666665,620.854063,0
Owner,No,No,2.0,BHK,Yes,Yes,19.88879,75.34344,65.0,0.0684200000006821,32.5,475.0073078,2
Owner,No,Yes,4.0,BHK,Yes,Yes,28.567633,77.383124,110.0,0.043557063473814855,27.5,631.355693125,0
Dealer,No,No,2.0,BHK,Yes,Yes,12.985039,77.54383,68.5,0.06523999999756183,34.25,524.984672,1
Dealer,No,No,3.0,BHK,Yes,Yes,22.589694,84.09013437499999,99.0,0.06129999998507748,33.0,538.3360523333333,3
Dealer,No,No,3.0,BHK,Yes,Yes,19.014858,72.8662,193.0,0.16782508000604168,64.33333333333333,383.33563333333336,2
Owner,No,No,2.0,BHK,Yes,Yes,26.955346,75.73479300000001,27.5,0.025,13.75,550.0,0
Dealer,Yes,Yes,2.0,BHK,No,No,24.69028,78.41889,70.0,0.07724000000210535,35.0,453.13309165,4
Owner,No,No,3.0,BHK,Yes,Yes,10.77,76.38,50.0,0.03438000000158148,16.666666666666668,484.77797166666664,1
Owner,No,No,3.0,BHK,Yes,Yes,28.506454,77.40956800000001,70.0,0.0439699999926256,23.333333333333332,530.6648473333333,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,28.406388,77.342588,22.1,0.03850999999912699,11.05,286.93845755,0
Dealer,No,Yes,3.0,BHK,Yes,Yes,19.12,72.91,193.0,0.18577628568254453,64.33333333333333,346.29464733333333,2
Owner,No,No,3.0,BHK,Yes,Yes,13.11389,77.59833,74.0,0.048110000014706056,24.666666666666668,512.7139193333334,1
Owner,No,No,2.0,BHK,Yes,Yes,26.850391,75.814198,85.0,0.033657730866129665,42.5,1262.71138625,0
Dealer,No,No,3.0,BHK,Yes,Yes,28.368269,77.37273,49.2,0.03070999999468193,16.400000000000002,534.028004,0
Owner,No,No,2.0,BHK,Yes,Yes,16.51667,80.61667,45.0,0.0375,22.5,600.0,1
Owner,No,No,2.0,BHK,Yes,Yes,15.86667,74.5,60.0,0.07893999999526359,30.0,380.03547000000003,2
Owner,Yes,No,2.0,BHK,No,Yes,23.25,77.41667,30.0,0.040550000000702864,15.0,369.91368680000005,4
Owner,No,No,2.0,BHK,Yes,Yes,13.0915,74.7844,33.0,0.026189999989762094,16.5,630.011455,1
Owner,No,No,2.0,BHK,Yes,Yes,21.093676,79.111965,29.0,0.02636000000163614,14.5,550.0758725,4
Dealer,No,Yes,3.0,BHK,Yes,Yes,18.5438,73.9438,193.0,0.08416638095487387,64.33333333333333,764.3590303333334,2
Dealer,No,No,2.0,BHK,Yes,Yes,19.216097,72.821721,88.6,0.07728000001772381,44.3,573.2401655,2
Dealer,No,Yes,4.0,BHK,Yes,Yes,19.1615,72.8731,193.0,0.08677824360838533,48.25,556.014941,2
Dealer,No,No,2.0,BHK,Yes,Yes,22.452032,84.09013437499999,30.0,0.03947999999755224,15.0,379.93920975000003,3
Owner,No,No,4.0,BHK,Yes,Yes,12.9506,77.5952,140.0,0.06193999999000996,35.0,565.06296425,1
Dealer,No,No,3.0,BHK,Yes,Yes,20.742166,80.104602,193.0,0.251623749994307,64.33333333333333,255.6727389,4
Owner,No,No,4.0,BHK,Yes,Yes,28.66667,77.41667,160.0,0.064,40.0,625.0,0
Dealer,Yes,Yes,4.0,BHK,No,Yes,21.0,77.0,100.0,0.043740000002641895,25.0,571.5592135,4
Owner,No,Yes,2.0,BHK,Yes,Yes,28.577673,77.389781,60.0,0.052170000021285357,30.0,575.043128,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,18.966114,73.148278,81.5,0.08110000003960466,40.75,502.466091,2
Owner,No,No,2.0,BHK,Yes,Yes,22.56972,84.09013437499999,34.0,0.0425,17.0,400.0,3
Dealer,Yes,No,3.0,BHK,No,Yes,26.706157,84.09013437499999,31.8,0.032,10.6,331.25,3
Dealer,No,No,2.0,BHK,Yes,Yes,23.169982,77.477889,30.0,0.023109999993267287,15.0,649.069667,4
Dealer,No,Yes,2.0,BHK,Yes,Yes,26.900926,75.775927,24.9,0.024979999998756015,12.45,498.398719,0
Owner,No,No,2.0,BHK,Yes,Yes,12.98556,77.66389000000001,48.0,0.04872999999888733,24.0,492.5097476,1
Dealer,No,No,3.0,BHK,Yes,Yes,12.91716,80.19287,53.7,0.048,17.900000000000002,372.9166666666667,1
Dealer,No,Yes,2.0,BHK,Yes,Yes,28.506454,77.40956800000001,42.0,0.047199999998651425,21.0,444.91525425000003,0
Owner,No,No,3.0,BHK,Yes,Yes,12.863421,77.652405,150.0,0.05939599564611117,50.0,841.8075908333334,1
Dealer,Yes,Yes,4.0,BHK,No,No,19.049513,72.91920400000001,193.0,0.11185227273235691,48.25,431.37254900000005,2
Dealer,Yes,Yes,3.0,BHK,No,Yes,30.654128000000004,76.732427,140.0,0.0562700000033963,46.666666666666664,829.334755,0
Dealer,No,No,3.0,BHK,Yes,Yes,23.207157,84.09013437499999,58.0,0.04833000001323242,19.333333333333332,400.027588,3
Dealer,No,No,2.0,BHK,Yes,Yes,26.459137,79.506922,100.0,0.06311999998707303,50.0,792.141952,4
Owner,No,No,2.0,BHK,Yes,Yes,23.2257,72.51679,18.0,0.02,9.0,450.0,2
Dealer,No,Yes,2.0,BHK,Yes,Yes,18.441256,74.647361,60.4,0.05060999998364392,30.2,596.720016,2
Owner,No,No,2.0,BHK,Yes,Yes,26.8626,75.7633,30.0,0.020169999994258274,15.0,743.678731,0
Owner,Yes,Yes,2.0,BHK,No,Yes,28.5035,77.426447,50.0,0.05051000000035862,25.0,494.95149475,0
Dealer,No,No,2.0,BHK,Yes,Yes,19.147866,72.932609,140.0,0.12120999998464962,70.0,577.5101065,2
Owner,No,No,2.0,BHK,Yes,Yes,11.93,79.83,80.0,0.08422000000195812,40.0,474.9465685,1
Owner,No,No,2.0,BHK,Yes,Yes,28.560719,77.386208,49.0,0.056,24.5,437.5,0
Dealer,No,No,2.0,BHK,Yes,Yes,12.96991,77.59796,24.5,0.028709999999622666,12.25,426.68059910000005,1
Owner,No,No,1.0,BHK,Yes,Yes,18.4543,73.1147,18.0,0.03726000000305532,18.0,483.0917874,2
Dealer,No,No,2.0,BHK,Yes,Yes,19.18,72.96333,95.0,0.11875,47.5,400.0,2
Owner,No,No,2.0,BHK,Yes,Yes,28.66667,77.41667,22.0,0.027430000001210663,11.0,401.02078014999995,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,13.069866,80.19842299999999,48.0,0.07867999999911485,24.0,305.03304525,1
Owner,No,No,3.0,BHK,Yes,Yes,28.861993,78.756315,75.0,0.044639999996857346,25.0,560.0358423333333,0
Owner,No,No,2.0,BHK,Yes,Yes,19.980678,79.297436,93.0,0.08085999997158597,46.5,575.068019,4
Owner,No,No,3.0,BHK,Yes,Yes,28.576117,77.382136,88.0,0.05677000000342555,29.333333333333332,516.7048323333333,0
Owner,No,No,4.5,BHK,Yes,Yes,28.6711,77.3683,82.0,0.04823999998639868,18.22222222222222,377.7409251111111,0
Owner,Yes,No,3.0,BHK,No,Yes,9.952439,76.36329649999999,75.0,0.04686999999628164,25.0,533.3902283333333,1
Owner,No,No,1.0,BHK,Yes,Yes,18.75,73.08,21.2,0.035330000000828254,21.2,600.0566091,2
Dealer,No,Yes,2.0,BHK,Yes,Yes,30.661104,76.746082,64.9,0.04540999998742654,32.45,714.6003085,0
Owner,No,No,2.0,BHK,Yes,Yes,13.008071,77.65129499999999,80.0,0.07174000002105568,40.0,557.5689990000001,1
Dealer,No,No,4.0,BHK,Yes,Yes,27.216013,77.950834,74.0,0.029302024518748176,18.5,631.355693125,0
Owner,No,No,3.0,BHK,Yes,Yes,23.35556,84.09013437499999,99.0,0.054660000011362654,33.0,603.7321623333333,3
Owner,No,No,2.0,BHK,Yes,Yes,22.43917,84.09013437499999,42.0,0.04018999998563686,21.0,522.5180395,3
Dealer,No,No,3.0,BHK,Yes,Yes,28.403138,77.070052,193.0,0.07642284773132971,64.33333333333333,841.8075908333334,0
Owner,No,No,3.0,BHK,Yes,Yes,12.840956,77.659441,70.0,0.05391999998212937,23.333333333333332,432.7398616666667,1
Owner,Yes,Yes,2.0,BHK,No,Yes,13.278237,74.747328,38.0,0.03426000000737492,19.0,554.5826035,1
Dealer,Yes,Yes,4.0,BHK,No,No,18.96,72.82,193.0,0.14800225535805778,48.25,326.0085455,2
Dealer,No,Yes,2.0,BHK,Yes,Yes,28.59632,77.38143000000001,46.0,0.04417999999617747,23.0,520.5975555,0
Dealer,No,No,3.0,BHK,Yes,Yes,28.394375,77.35722700000001,83.7,0.039189999991553315,27.900000000000002,711.9163053333333,0
Owner,No,Yes,3.0,BHK,Yes,Yes,28.579004,77.431173,82.0,0.044320000009944974,27.333333333333332,616.726835,0
Dealer,No,No,3.0,BHK,Yes,Yes,23.166495,72.63429000000001,70.0,0.042040000009008566,23.333333333333332,555.0269583333334,2
Owner,No,Yes,2.0,BHK,Yes,Yes,26.707154,80.98234599999999,11.0,0.02761999999945262,5.5,199.13106445,4
Owner,No,No,2.0,BHK,Yes,Yes,12.80009,77.71181999999999,48.0,0.0477599999823288,24.0,502.512563,1
Dealer,No,Yes,4.0,BHK,Yes,Yes,18.5438,73.9438,193.0,0.07642284773132971,48.25,631.355693125,2
Dealer,No,Yes,2.0,BHK,Yes,Yes,19.128324,72.825408,193.0,0.14914806055945412,96.5,647.008078,2
Dealer,No,Yes,3.0,BHK,Yes,Yes,28.6423,77.3445,100.0,0.0650700000025247,33.333333333333336,512.2688386666667,0
Owner,No,No,2.0,BHK,Yes,Yes,12.9816,77.6729,62.0,0.055199999990028385,31.0,561.594203,1
Dealer,No,No,2.0,BHK,Yes,Yes,26.955346,75.73479300000001,16.5,0.02062000000053987,8.25,400.0969932,0
Dealer,No,Yes,4.0,BHK,Yes,Yes,19.239813,72.962722,193.0,0.07642284773132971,48.25,631.355693125,2
Dealer,No,No,3.0,BHK,Yes,Yes,12.905368,77.580403,100.0,0.06605999998853197,33.333333333333336,504.59178533333335,1
Owner,No,No,3.0,BHK,Yes,Yes,9.930471,76.271273,48.0,0.0375,16.0,426.6666666666667,1
Owner,No,No,1.0,BHK,Yes,Yes,28.568846,77.324966,14.5,0.035360000000273124,14.5,410.0678733,0
Dealer,No,No,4.0,BHK,Yes,Yes,22.312063,72.674296,100.0,0.039597330430740776,25.0,631.355693125,2
Dealer,No,No,2.0,BHK,Yes,Yes,28.582887,77.339935,65.0,0.07303000000077862,32.5,445.02259344999993,0
Owner,No,No,2.0,BHK,Yes,Yes,22.1764,75.8193,25.0,0.025569999998892305,12.5,488.85412595,4
Dealer,No,No,2.0,BHK,Yes,Yes,12.977126,77.577724,38.0,0.034550000006273555,19.0,549.927641,1
Owner,Yes,No,2.0,BHK,No,Yes,26.29564,73.03943000000001,37.0,0.03522999998804084,18.5,525.120636,0
Dealer,No,Yes,3.0,BHK,Yes,Yes,26.900926,75.775927,57.9,0.04134999999907159,19.3,466.7472793333333,0
Dealer,No,No,3.0,BHK,Yes,Yes,19.048979,73.078232,180.0,0.10344000000813729,60.0,580.0464036666666,2
Dealer,No,Yes,2.0,BHK,Yes,Yes,24.69028,78.41889,180.0,0.1566400000148982,90.0,574.5658835,4
Dealer,No,No,2.0,BHK,Yes,Yes,11.026678,76.903583,20.0,0.030760000000830522,10.0,325.09752925,1
Owner,No,No,2.0,BHK,Yes,Yes,26.878068,75.77985600000001,85.0,0.062730000006273,42.5,677.506775,0
Dealer,No,No,3.0,BHK,Yes,Yes,12.96991,77.59796,150.0,0.08332999999445022,50.0,600.0240010000001,1
Dealer,No,Yes,2.0,BHK,Yes,Yes,21.56128,74.21238000000001,33.9,0.037349999999520725,16.95,453.81526105,2
Dealer,No,No,3.0,BHK,Yes,Yes,13.141581,77.749756,88.0,0.05377999999426754,29.333333333333332,545.432007,1
Owner,No,No,2.0,BHK,Yes,Yes,22.261354,73.215533,25.0,0.027769999999375728,12.5,450.1260353,2
Owner,No,No,2.0,BHK,Yes,Yes,12.905538,77.694263,100.0,0.07586999998102491,50.0,659.0220115000001,1
Dealer,No,Yes,3.0,BHK,Yes,Yes,30.684523,76.691728,99.0,0.05078000000934557,33.0,649.8621503333333,0
Dealer,No,No,3.0,BHK,Yes,Yes,9.930471,76.271273,67.0,0.04076999998819496,22.333333333333332,547.7884066666667,1
Dealer,No,No,3.0,BHK,Yes,Yes,18.96,72.82,193.0,0.15652299996039967,64.33333333333333,411.01520766666664,2
Dealer,No,No,1.0,BHK,Yes,Yes,18.964489,73.019574,49.0,0.07480000000042743,49.0,655.0802139,2
Owner,No,No,2.0,BHK,Yes,Yes,12.96991,77.59796,75.0,0.06355000000288093,37.5,590.086546,1
Owner,No,No,3.0,BHK,Yes,Yes,28.6711,77.3683,55.0,0.04583000000285812,18.333333333333332,400.02909300000005,0
Dealer,No,No,4.0,BHK,Yes,Yes,22.53028,84.09013437499999,193.0,0.07642284773132971,48.25,631.355693125,3
Owner,Yes,Yes,4.0,BHK,No,Yes,28.535689,77.35967099999999,193.0,0.07642284773132971,48.25,631.355693125,0
Owner,No,No,2.0,BHK,Yes,Yes,26.928785,75.828002,30.0,0.03529000000155511,15.0,425.0495891,0
Dealer,Yes,Yes,4.0,BHK,No,Yes,12.8855,77.5638,193.0,0.07642284773132971,48.25,631.355693125,1
Owner,No,No,2.0,BHK,Yes,Yes,12.928575,77.58572099999999,55.0,0.06111000000230107,27.5,450.00818195,1
Dealer,Yes,No,4.0,BHK,No,Yes,18.475864,73.89000899999999,160.0,0.06469999998831356,40.0,618.23802175,2
Dealer,No,No,2.0,BHK,Yes,Yes,20.098413,79.10786,50.7,0.05608000000261043,25.35,452.03281025,4
Dealer,Yes,Yes,1.0,BHK,No,Yes,19.1145,72.8712,82.0,0.3094300000421919,82.0,265.0033933,2
Dealer,Yes,Yes,3.0,BHK,No,Yes,26.16667,75.78333,110.0,0.07004999998331536,36.666666666666664,523.4356413333334,0
Dealer,No,No,2.0,BHK,Yes,Yes,19.255098,72.9815265,150.0,0.15700000000638467,75.0,477.70700635,2
Dealer,No,No,2.0,BHK,Yes,Yes,28.593566,77.362752,60.0,0.06,30.0,500.0,0
Dealer,No,No,4.0,BHK,Yes,Yes,12.995285,77.766797,95.0,0.03808000000243712,23.75,623.68697475,1
Owner,No,No,2.0,BHK,Yes,Yes,13.1101,80.2095,75.0,0.06521000000601672,37.5,575.065174,1
Dealer,No,No,2.0,BHK,Yes,Yes,19.0168,73.09646,85.0,0.07024000001507268,42.5,605.068337,2
Dealer,No,No,2.0,BHK,Yes,Yes,19.126499,72.99956,193.0,0.14139180000014137,96.5,682.5006825,2
Dealer,Yes,Yes,2.0,BHK,No,No,19.255098,72.9815265,110.0,0.22016000000307423,55.0,249.81831395,2
Dealer,No,No,2.0,BHK,Yes,Yes,22.271214,73.188827,40.0,0.03808999999471501,20.0,525.0721975,2
Owner,No,No,1.0,BHK,Yes,Yes,13.020957,80.152774,40.0,0.08402999999649806,40.0,476.0204688999999,1
Dealer,No,No,2.0,BHK,Yes,Yes,28.538774,77.366515,21.0,0.021310000000923434,10.5,492.7264195,0
Dealer,No,No,2.0,BHK,Yes,Yes,28.368269,77.37273,24.0,0.022960000005433866,12.0,522.6480835,0
Dealer,Yes,Yes,2.0,BHK,No,Yes,12.86,77.786,90.0,0.06913000002504043,45.0,650.94749,1
Owner,No,No,2.0,BHK,Yes,Yes,28.2102,76.8606,38.0,0.019,19.0,1000.0,0
Dealer,Yes,Yes,4.0,BHK,No,Yes,28.526624,77.37671800000001,193.0,0.07642284773132971,48.25,631.355693125,0
Dealer,No,No,2.0,BHK,Yes,Yes,20.286571,84.09013437499999,59.6,0.05,29.8,596.0,3
Dealer,Yes,No,3.0,BHK,No,No,22.5922,84.09013437499999,120.0,0.06500000000541667,40.0,615.3846153333333,3
Dealer,Yes,No,1.0,BHK,No,Yes,19.221571,73.042474,120.0,0.26753999998565986,120.0,448.5310608,2
Owner,No,No,2.0,BHK,Yes,Yes,28.66667,77.41667,31.0,0.04133000000270511,15.5,375.03024435000003,0
Dealer,No,No,2.0,BHK,Yes,Yes,19.040066,73.115347,72.0,0.06792000002422478,36.0,530.0353355000001,2
Dealer,No,Yes,3.0,BHK,Yes,Yes,12.8458,77.6727,79.5,0.056179999985018665,26.5,471.69811333333337,1
Dealer,No,No,2.0,BHK,Yes,Yes,18.96,72.82,89.0,0.0767200000113787,44.5,580.0312825,2
Dealer,No,No,3.0,BHK,Yes,Yes,19.1615,72.8731,193.0,0.11419951219980135,64.33333333333333,563.3415773333334,2
Owner,Yes,No,3.0,BHK,No,Yes,28.495803,77.42684799999999,68.6,0.04100999999497239,22.866666666666664,557.5875803333333,0
Owner,No,No,2.0,BHK,Yes,Yes,20.606469,72.913465,33.0,0.025089999996852345,16.5,657.632523,2
Dealer,No,No,1.0,BHK,Yes,Yes,19.245347,73.124577,50.0,0.07692000000473828,50.0,650.026001,2
Owner,No,No,1.0,BHK,Yes,Yes,19.585537,72.83686800000001,16.0,0.02961999999758967,16.0,540.1755571,2
Dealer,No,No,3.0,BHK,Yes,Yes,20.098413,79.10786,98.0,0.05355000001396125,32.666666666666664,610.0217863333334,4
Dealer,No,No,3.0,BHK,Yes,Yes,28.66667,77.41667,70.0,0.044439999992991176,23.333333333333332,525.0525053333333,0
Dealer,No,No,3.0,BHK,Yes,Yes,12.904179,77.665897,76.5,0.05,25.5,510.0,1
Owner,No,No,2.0,BHK,Yes,Yes,12.758604,77.700377,26.0,0.04196000000259506,13.0,309.8188751,1
Owner,No,No,4.0,BHK,Yes,Yes,21.17,72.83,110.0,0.05,27.5,550.0,2
Dealer,No,No,3.0,BHK,Yes,Yes,39.538208,67.617599375,77.0,0.043820000010038766,25.666666666666668,585.7294993333334,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,19.239813,72.962722,140.0,0.12868999995244906,70.0,543.9428085,2
Owner,No,No,2.0,BHK,Yes,Yes,12.880993,77.557654,70.0,0.0583399999909823,35.0,599.9314365,1
Owner,No,No,2.0,BHK,Yes,Yes,13.033421,77.603954,61.0,0.048220000003082915,30.5,632.5176275,1
Dealer,No,No,2.0,BHK,Yes,Yes,22.301625,84.09013437499999,17.3,0.025590000000269213,8.65,338.0226651,3
Owner,No,No,2.0,BHK,Yes,Yes,28.678014,77.38296,42.0,0.0525,21.0,400.0,0
Owner,No,No,2.0,BHK,Yes,Yes,22.486821,84.09013437499999,25.0,0.03333000000003333,12.5,375.03750375,3
Dealer,No,Yes,2.0,BHK,Yes,No,13.086769,80.191135,150.0,0.1,75.0,750.0,1
Dealer,No,No,3.0,BHK,Yes,Yes,20.257483,84.09013437499999,88.9,0.04900000000771654,29.633333333333336,604.7619046666667,3
Dealer,No,Yes,3.0,BHK,Yes,Yes,24.69028,78.41889,110.0,0.09199999999330909,36.666666666666664,398.55072466666667,4
Dealer,No,No,3.0,BHK,Yes,Yes,26.900926,75.775927,41.0,0.029389999998308283,13.666666666666666,465.0107746666667,0
Owner,No,No,2.0,BHK,Yes,Yes,19.696531,72.767746,24.0,0.028229999999615365,12.0,425.07970245,2
Dealer,No,No,2.0,BHK,Yes,Yes,12.957707,80.18367099999999,48.2,0.052999999997910795,24.1,454.71698115,1
Owner,Yes,No,2.0,BHK,No,Yes,25.248438,83.014116,33.0,0.03626000000145919,16.5,455.0468836,3
Dealer,No,No,3.0,BHK,Yes,Yes,12.96991,77.59796,193.0,0.10432035998147687,64.33333333333333,616.690101,1
Dealer,No,Yes,3.0,BHK,Yes,Yes,28.546788,77.37849399999999,160.0,0.07730000001058045,53.333333333333336,689.9525656666666,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,19.18,72.96333,140.0,0.17072999999625246,70.0,410.00410005000003,2
Dealer,No,No,2.0,BHK,Yes,Yes,23.182972,72.611485,36.0,0.02898999999613467,18.0,620.9037599999999,2
Dealer,No,Yes,3.0,BHK,Yes,No,18.5438,73.9438,79.0,0.07789999996331798,26.333333333333332,338.0402226666667,2
Dealer,No,No,4.0,BHK,Yes,Yes,30.697795000000003,76.714722,160.0,0.06950000001151094,40.0,575.53956825,0
Dealer,No,No,2.0,BHK,Yes,Yes,24.69028,78.41889,69.0,0.07665999999790907,34.5,450.03913385000004,4
Builder,Yes,No,2.0,BHK,No,No,26.154874,84.09013437499999,30.1,0.03349999999949917,15.05,449.25373135,3
Dealer,No,No,3.0,BHK,Yes,Yes,26.91667,75.86667,190.0,0.08499999998657895,63.333333333333336,745.0980393333333,0
Dealer,No,No,3.0,BHK,Yes,Yes,28.5679,77.3679,81.0,0.06,27.0,450.0,0
Dealer,No,Yes,2.0,BHK,Yes,Yes,18.485487,73.80377299999999,70.0,0.06363000000006364,35.0,550.0550055,2
